date,location,unemployment_rate_trend_pct,unemployment_rate_seasonally_adjusted_pct,unemployment_rate_original_pct
1982-07,Northern Territory,6.2007195,,4.2904507
1982-07,Queensland,6.463784,6.09082,5.8081401
1982-07,South Australia,7.985652,7.8923986,7.6636645
1982-07,Tasmania,9.7050639,9.1966086,8.7377308
1982-07,Victoria,6.5461795,6.6217788,6.3085192
1982-07,Western Australia,7.6033552,7.5350898,7.4781932
1982-08,Australia,7.3044935,7.011301,6.7442882
1982-08,Australian Capital Territory,7.5214677,,6.6232696
1982-08,New South Wales,7.390792,6.7902141,6.510462
1982-08,Northern Territory,6.3351404,,6.1504824
1982-08,Queensland,6.8335554,6.8969992,6.5075592
1982-08,South Australia,8.2195014,8.3756407,8.4251229
1982-08,Tasmania,9.8900355,9.5923804,9.3635564
1982-08,Victoria,6.7545294,6.3398444,6.024553
1982-08,Western Australia,7.8398888,7.8517662,7.8376967
1982-09,Australia,7.71729,7.4293212,7.3221019
