table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Intensive penalty in the community,Total,945
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,01 Homicide,0
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,02 Assault,265
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,03 Sexual offences,22
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,04 Harm or endanger persons,27
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,"05 Robbery, blackmail, and extortion",6
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,06 Burglary,52
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,07 Theft,150
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,08 Fraud and related offences,29
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2023–24,Principal sentence,Fully suspended sentence of imprisonment,09 Drug offences,70
