table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Total adjudicated,815
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Transfer to other court levels,22
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Withdrawn by prosecution,273
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Total,1115
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Acquitted,7
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Guilty outcome,33
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Total adjudicated,37
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Transfer to other court levels,20
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Withdrawn by prosecution,30
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,111 Arson,Total,84
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,112 Damage or destroy property,Acquitted,14
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,112 Damage or destroy property,Guilty outcome,760
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,112 Damage or destroy property,Total adjudicated,783
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,112 Damage or destroy property,Transfer to other court levels,3
