state,venue_or_event_type,measure,value
WA,Musicals or operas,margin_of_error_pct_points,1.3
Tas.,Musicals or operas,margin_of_error_pct_points,1.2
NT,Musicals or operas,margin_of_error_pct_points,1.7
ACT,Musicals or operas,margin_of_error_pct_points,2.1
Australia,Musicals or operas,margin_of_error_pct_points,0.3
NSW,Theatre performances,margin_of_error_pct_points,0.8
Vic.,Theatre performances,margin_of_error_pct_points,0.9
Qld,Theatre performances,margin_of_error_pct_points,1.1
SA,Theatre performances,margin_of_error_pct_points,1.1
WA,Theatre performances,margin_of_error_pct_points,1.4
Tas.,Theatre performances,margin_of_error_pct_points,1.6
NT,Theatre performances,margin_of_error_pct_points,2.4
ACT,Theatre performances,margin_of_error_pct_points,3.5
Australia,Theatre performances,margin_of_error_pct_points,0.4
NSW,Dance performances,margin_of_error_pct_points,0.7
Vic.,Dance performances,margin_of_error_pct_points,0.7
Qld,Dance performances,margin_of_error_pct_points,0.8
SA,Dance performances,margin_of_error_pct_points,1
WA,Dance performances,margin_of_error_pct_points,1.2
Tas.,Dance performances,margin_of_error_pct_points,1.1
NT,Dance performances,margin_of_error_pct_points,2.4
ACT,Dance performances,margin_of_error_pct_points,2
Australia,Dance performances,margin_of_error_pct_points,0.3
NSW,Other performing arts,margin_of_error_pct_points,0.7
Vic.,Other performing arts,margin_of_error_pct_points,1.2
Qld,Other performing arts,margin_of_error_pct_points,1.2
SA,Other performing arts,margin_of_error_pct_points,2
WA,Other performing arts,margin_of_error_pct_points,1.6
Tas.,Other performing arts,margin_of_error_pct_points,1.2
NT,Other performing arts,margin_of_error_pct_points,2.8
ACT,Other performing arts,margin_of_error_pct_points,2.7
Australia,Other performing arts,margin_of_error_pct_points,0.5
NSW,Total attending at least one performing arts event,margin_of_error_pct_points,1.3
Vic.,Total attending at least one performing arts event,margin_of_error_pct_points,1.8
Qld,Total attending at least one performing arts event,margin_of_error_pct_points,1.8
SA,Total attending at least one performing arts event,margin_of_error_pct_points,2.1
WA,Total attending at least one performing arts event,margin_of_error_pct_points,2.2
Tas.,Total attending at least one performing arts event,margin_of_error_pct_points,2.1
NT,Total attending at least one performing arts event,margin_of_error_pct_points,4.1
ACT,Total attending at least one performing arts event,margin_of_error_pct_points,4.7
Australia,Total attending at least one performing arts event,margin_of_error_pct_points,0.7
NSW,Total attending at least one venue or event,margin_of_error_pct_points,1.5
Vic.,Total attending at least one venue or event,margin_of_error_pct_points,1.6
Qld,Total attending at least one venue or event,margin_of_error_pct_points,2
SA,Total attending at least one venue or event,margin_of_error_pct_points,1.9
WA,Total attending at least one venue or event,margin_of_error_pct_points,1.9
Tas.,Total attending at least one venue or event,margin_of_error_pct_points,2.7
NT,Total attending at least one venue or event,margin_of_error_pct_points,3.9
ACT,Total attending at least one venue or event,margin_of_error_pct_points,4.1
Australia,Total attending at least one venue or event,margin_of_error_pct_points,0.8
NSW,Total population aged 15 years and over,margin_of_error_pct_points,0
Vic.,Total population aged 15 years and over,margin_of_error_pct_points,0
Qld,Total population aged 15 years and over,margin_of_error_pct_points,0
SA,Total population aged 15 years and over,margin_of_error_pct_points,0
WA,Total population aged 15 years and over,margin_of_error_pct_points,0
Tas.,Total population aged 15 years and over,margin_of_error_pct_points,0
NT,Total population aged 15 years and over,margin_of_error_pct_points,0
ACT,Total population aged 15 years and over,margin_of_error_pct_points,0
Australia,Total population aged 15 years and over,margin_of_error_pct_points,0
