surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Kilby,Jacqueline Gail Kilby,KILBY,Gail,Onkaparinga,Ward Councillor,Southern Vales ward,8,No,,Not elected
Olsen,Wayne Richard,OLSEN,Wayne,Onkaparinga,Ward Councillor,Southern Vales ward,7,Yes,,Not elected
Pritchard,Jordan,PRITCHARD,Jordan,Onkaparinga,Ward Councillor,Southern Vales ward,2,No,,Elected
Tassell,Wayne Robert,TASSELL,Wayne,Onkaparinga,Ward Councillor,Southern Vales ward,4,No,,Not elected
Chabrel,Philip Marcelin,CHABREL,Philip,Onkaparinga,Ward Councillor,Thalassa ward,5,No,,Not elected
Eaton,Geoffrey,EATON,Geoff,Onkaparinga,Ward Councillor,Thalassa ward,1,Yes,,Elected
Harley,Ilona,HARLEY,Ilona,Onkaparinga,Ward Councillor,Thalassa ward,4,No,,Not elected
Photakis,John Alexander,PHOTAKIS,John,Onkaparinga,Ward Councillor,Thalassa ward,2,No,Australian Greens SA,Not elected
Rochford,Helen,ROCHFORD,Helen,Onkaparinga,Ward Councillor,Thalassa ward,3,No,,Not elected
Themeliotis,Marion,THEMELIOTIS,Marion,Onkaparinga,Ward Councillor,Thalassa ward,6,Yes,Liberal Party of Australia (SA Division),Elected
Bowman,Kathleen,BOWMAN,Kathie,Orroroo Carrieton,Area Councillor,,,Yes,,Elected unopposed
Chapman,Grant Allan,CHAPMAN,Grant Allan,Orroroo Carrieton,Area Councillor,,,Yes,,Elected unopposed
Ford,Joylene Joan,FORD,Joylene Joan,Orroroo Carrieton,Area Councillor,,,Yes,,Elected unopposed
Goehring,Ralph,GOEHRING,Ralph,Orroroo Carrieton,Area Councillor,,,Yes,,Elected unopposed
Parkyn,Colin Richard,PARKYN,Col (Shorty),Orroroo Carrieton,Area Councillor,,,Yes,,Elected unopposed
Watson,Jessica Dawn,WATSON,Jessica,Orroroo Carrieton,Area Councillor,,,No,,Elected unopposed
Burford,Michael Craig,BURFORD,Michael,Peterborough,Area Councillor,,3,Yes,,Elected
Chambers,Cassandra,CHAMBERS,Cassandra,Peterborough,Area Councillor,,4,Yes,,Elected
Hotchin,Raymond George,HOTCHIN,Raymond George,Peterborough,Area Councillor,,7,Yes,,Elected
Hucks,Neil Oliver,HUCKS,Neil Oliver,Peterborough,Area Councillor,,8,No,,Elected
Kempen,Judith Kay,KEMPEN,Judith,Peterborough,Area Councillor,,9,No,,Not elected
Martin,Teena Anne,MARTIN,Teena ,Peterborough,Area Councillor,,1,No,,Elected
Mercer,Graham John,MERCER,Graham John,Peterborough,Area Councillor,,6,Yes,,Elected
Miller,Kim William,MILLER,Kim William,Peterborough,Area Councillor,,10,Yes,,Elected
Sleep,Russell David,SLEEP,Russell ,Peterborough,Area Councillor,,2,Yes,,Elected
Taverner,Donna Chantelle,TAVERNER,Donna Chantelle,Peterborough,Area Councillor,,5,No,,Not elected
Dean,Christopher,DEAN,Christopher,Peterborough,Mayor,,1,No,,Not elected
Whittle,Ruth,WHITTLE,Ruth,Peterborough,Mayor,,2,Yes,,Elected
Docherty,Glenn Brian,DOCHERTY,Glenn,Playford,Mayor,,1,Yes,Liberal Party of Australia (SA Division),Elected
Reardon,Shaun,REARDON,Shaun,Playford,Mayor,,3,Yes,,Not elected
Smith,Jerome,SMITH,Jerome,Playford,Mayor,,2,No,,Not elected
Balfort,Gary,BALFORT,Gary,Playford,Ward Councillor,Ward 1,4,No,Family First Party Inc,Not elected
Diessa,Possible,DIESSA,Possible,Playford,Ward Councillor,Ward 1,8,No,Australian Labor Party (South Australian Branch),Not elected
Douglas,Victoria Jayne,DOUGLAS,Victoria Jayne,Playford,Ward Councillor,Ward 1,6,No,,Not elected
Kuhlmann,Rita,KUHLMANN,Rita,Playford,Ward Councillor,Ward 1,11,No,Animal Justice Party,Not elected
Marsh,Clint,MARSH,Clint,Playford,Ward Councillor,Ward 1,10,Yes,Australian Labor Party (South Australian Branch),Elected
Mcdonald,Rita  Anne,MCDONALD,Rita Anne,Playford,Ward Councillor,Ward 1,5,No,,Not elected
Musolino,Dino,MUSOLINO,Dino,Playford,Ward Councillor,Ward 1,1,No,,Not elected
Nicol,Phillip Daryl,NICOL,Phillip,Playford,Ward Councillor,Ward 1,7,No,,Not elected
Rentoulis,Peter,RENTOULIS,Peter,Playford,Ward Councillor,Ward 1,2,Yes,,Elected
Tame,Cathy-Jo,TAME,Cathy Jo,Playford,Ward Councillor,Ward 1,9,Yes,,Not elected
Vandepeear,Rebecca,VANDEPEEAR,Rebecca,Playford,Ward Councillor,Ward 1,3,No,Australian Labor Party (South Australian Branch),Elected
Coppins,Stephen,COPPINS,Stephen ,Playford,Ward Councillor,Ward 2,3,Yes,,Not elected
Currey,Donna-Marie,CURREY,Donna-marie,Playford,Ward Councillor,Ward 2,4,No,Australian Labor Party (South Australian Branch),Not elected
Davies,Russell Francis,DAVIES,Russell Francis,Playford,Ward Councillor,Ward 2,6,No,,Not elected
Hanton,Kym,HANTON,Kym,Playford,Ward Councillor,Ward 2,9,No,,Not elected
Hatungimana,Modeste,HATUNGIMANA,Modeste,Playford,Ward Councillor,Ward 2,8,No,,Not elected
James,Corina,JAMES,Corina,Playford,Ward Councillor,Ward 2,2,No,,Not elected
Karlsen,Chantelle,KARLSEN,Chantelle,Playford,Ward Councillor,Ward 2,10,No,Australian Labor Party (South Australian Branch),Elected
Onuzans,Esperanza Jane,ONUZANS,Jane,Playford,Ward Councillor,Ward 2,1,Yes,,Elected
Sharma Poudyal,Puskar,SHARMA POUDYAL,Puskar ,Playford,Ward Councillor,Ward 2,7,No,Liberal Party of Australia (SA Division),Not elected
Smallwood-Smith,Gaynor,SMALLWOOD-SMITH,Gay,Playford,Ward Councillor,Ward 2,5,Yes,,Elected
Amani,Ahmad,AMANI,Ahmad,Playford,Ward Councillor,Ward 3,9,No,Australian Labor Party (South Australian Branch),Not elected
Craig,Andrew,CRAIG,Andrew,Playford,Ward Councillor,Ward 3,10,Yes,,Elected
Federico,Joe,FEDERICO,Joe,Playford,Ward Councillor,Ward 3,2,No,,Not elected
Gossink,Veronica,GOSSINK,Veronica,Playford,Ward Councillor,Ward 3,5,Yes,,Not elected
Hendrick,Sanja,HENDRICK,Sanja,Playford,Ward Councillor,Ward 3,6,No,Family First Party Inc,Not elected
Kerrison,David Glenn,KERRISON,David ,Playford,Ward Councillor,Ward 3,8,Yes,,Elected
O'Donnell,Thomas,O'DONNELL,Tom ,Playford,Ward Councillor,Ward 3,7,No,Liberal Party of Australia (SA Division),Not elected
Rae,Clare Louise,RAE,Clare Louise,Playford,Ward Councillor,Ward 3,3,No,,Not elected
Smiljanic,Tanya Nicole,SMILJANIC,Tanya,Playford,Ward Councillor,Ward 3,4,No,,Elected
Southern,Melainie Jane,SOUTHERN,Lainie,Playford,Ward Councillor,Ward 3,1,No,,Not elected
Acharya,Ram,ACHARYA,Ram,Playford,Ward Councillor,Ward 4,8,No,Liberal Party of Australia (SA Division),Not elected
Ali,Mohammad,ALI,Mohammad,Playford,Ward Councillor,Ward 4,11,No,Liberal Party of Australia (SA Division),Not elected
Baker,Marilyn,BAKER,Marilyn,Playford,Ward Councillor,Ward 4,10,Yes,,Elected
Bayani,Zahra,BAYANI,Zahra,Playford,Ward Councillor,Ward 4,1,No,Australian Labor Party (South Australian Branch),Elected
Davey,Denis Ronald,DAVEY,Denis,Playford,Ward Councillor,Ward 4,6,No,Liberal Party of Australia (SA Division),Not elected
Holfter,Rae,HOLFTER,Rae,Playford,Ward Councillor,Ward 4,9,No,,Not elected
Horsell,Christine Mary,HORSELL,Chris,Playford,Ward Councillor,Ward 4,7,No,,Not elected
Riebe,Lisa Dawn,KRANZ,Lisa D,Playford,Ward Councillor,Ward 4,5,No,Australian Labor Party (South Australian Branch),Not elected
Parkin,Benjamin,PARKIN,Benjamin Jeffrey,Playford,Ward Councillor,Ward 4,4,No,,Not elected
Stroet,Katrina Peta,STROET,Katrina ,Playford,Ward Councillor,Ward 4,2,Yes,,Elected
Stuart,Terry,STUART,Terry,Playford,Ward Councillor,Ward 4,3,No,,Not elected
Walker,Sara,WALKER,Sara,Playford,Ward Councillor,Ward 4,12,No,,Not elected
Arifi,Akram,ARIFI,Akram,Playford,Ward Councillor,Ward 5,5,Yes,Australian Labor Party (South Australian Branch),Elected
Callaghan,Tammy,CALLAGHAN,Tammy,Playford,Ward Councillor,Ward 5,6,No,,Not elected
Halls,Shirley Patricia,HALLS,Shirley Patricia,Playford,Ward Councillor,Ward 5,2,Yes,,Elected
Norris,Misty,NORRIS,Misty,Playford,Ward Councillor,Ward 5,3,Yes,Australian Labor Party (South Australian Branch),Elected
Retallick,Matthew,RETALLICK,Matthew,Playford,Ward Councillor,Ward 5,4,No,,Not elected
Shaw,Mark Daniel,SHAW,Mark Daniel,Playford,Ward Councillor,Ward 5,1,No,,Not elected
Boan,Claire,BOAN,Claire,Port Adelaide Enfield,Mayor,,,Yes,,Elected unopposed
Clayton,Barbara,CLAYTON,Barbara,Port Adelaide Enfield,Ward Councillor,Enfield ward,4,Yes,,Elected
Colombo,Olivia,COLOMBO,Olivia,Port Adelaide Enfield,Ward Councillor,Enfield ward,1,Yes,Australian Labor Party (South Australian Branch),Elected
Martin,Carol,MARTIN,Carol,Port Adelaide Enfield,Ward Councillor,Enfield ward,3,Yes,,Elected
Shinde,Mihir,SHINDE,Mihir,Port Adelaide Enfield,Ward Councillor,Enfield ward,2,No,,Not elected
Barbaro,Paul,BARBARO,Paul,Port Adelaide Enfield,Ward Councillor,Klemzig ward,6,No,,Not elected
Evans,Hannah,EVANS,Hannah,Port Adelaide Enfield,Ward Councillor,Klemzig ward,4,Yes,Australian Labor Party (South Australian Branch),Elected
Gadhia,Rahul,GADHIA,Rahul,Port Adelaide Enfield,Ward Councillor,Klemzig ward,3,No,,Not elected
Mcshane,Janice Lyn,McSHANE,Janice,Port Adelaide Enfield,Ward Councillor,Klemzig ward,5,No,Liberal Party of Australia (SA Division),Not elected
Russell,Paul,RUSSELL,Paul,Port Adelaide Enfield,Ward Councillor,Klemzig ward,2,Yes,,Elected
Yara,Haritha Reddy,YARA,Haritha Reddy,Port Adelaide Enfield,Ward Councillor,Klemzig ward,1,No,Liberal Party of Australia (SA Division),Not elected
Basham,Mark Andrew,BASHAM,Mark,Port Adelaide Enfield,Ward Councillor,Northfield ward,5,Yes,,Elected
Darji,Nayan Gandabhai,DARJI,Nayan,Port Adelaide Enfield,Ward Councillor,Northfield ward,6,No,,Not elected
Dostizada,Hafizullah,DOSTIZADA,Hafiz,Port Adelaide Enfield,Ward Councillor,Northfield ward,2,No,,Not elected
Osborn,Matthew James,OSBORN,Matt,Port Adelaide Enfield,Ward Councillor,Northfield ward,4,Yes,Australian Labor Party (South Australian Branch),Elected
Panayiotou,Lazaras,PANAYIOTOU,Lazaras,Port Adelaide Enfield,Ward Councillor,Northfield ward,1,No,Australian Greens SA,Elected
Yoon,Jin Wook,YOON,Jin Wook,Port Adelaide Enfield,Ward Councillor,Northfield ward,3,No,Liberal Party of Australia (SA Division),Not elected
Le Raye,John Milton,LE RAYE,John,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,5,No,,Not elected
Lipson,Emma Olivia,LIPSON,Emma,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,6,No,,Not elected
Pluta,Wally,PLUTA,Wally,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Smith,Mark John Christopher,SMITH,Mark,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,3,No,Australian Labor Party (South Australian Branch),Not elected
Tulloch,Vanessa,TULLOCH,Vanessa,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,1,Yes,,Elected
Wotton,Adrian,WOTTON,Adrian,Port Adelaide Enfield,Ward Councillor,Outer Harbor ward,2,Yes,,Elected
Croci,John Alexander,CROCI,John,Port Adelaide Enfield,Ward Councillor,Parks ward,5,Yes,,Not elected
Dinh,Kim,DINH,Kim,Port Adelaide Enfield,Ward Councillor,Parks ward,3,Yes,Australian Labor Party (South Australian Branch),Elected
Mitchell,Katharine Scott,MITCHELL,Kat,Port Adelaide Enfield,Ward Councillor,Parks ward,2,Yes,,Elected
More,Sadanand Jagdish,MORE,Sadanand,Port Adelaide Enfield,Ward Councillor,Parks ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Pleh,Dzenana,PLEH,Anna,Port Adelaide Enfield,Ward Councillor,Parks ward,6,No,,Not elected
Saeed,Wasim,SAEED,Wasim,Port Adelaide Enfield,Ward Councillor,Parks ward,1,No,Australian Labor Party (South Australian Branch),Elected
Anderson,Scott,ANDERSON,Scott,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,2,No,Liberal Party of Australia (SA Division),Not elected
Den Hartog,Joost,DEN HARTOG,Joost,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,4,Yes,,Elected
Lailey,Jason Scott,LAILEY,Jason ,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,5,No,Australian Labor Party (South Australian Branch),Not elected
Sardinha,Denzyl Savio,SARDINHA,Denzyl Savio,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,3,No,,Not elected
Thompson,Martina,THOMPSON,Martina,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,6,No,,Not elected
Vines,Steven,VINES,Steve,Port Adelaide Enfield,Ward Councillor,Port Adelaide ward,1,Yes,Australian Labor Party (South Australian Branch),Elected
Lineage,Ignatius Hilary,LINEAGE,Ignatius,Port Adelaide Enfield,Ward Councillor,Semaphore ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Mcgregor,Peter Malcolm,McGREGOR,Peter,Port Adelaide Enfield,Ward Councillor,Semaphore ward,5,No,,Elected
Mclaren,Chad Christian,McLAREN,Chad Christian,Port Adelaide Enfield,Ward Councillor,Semaphore ward,6,No,Liberal Party of Australia (SA Division),Not elected
Wilkins,David Graham,WILKINS,David,Port Adelaide Enfield,Ward Councillor,Semaphore ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Witt,Jamie Allan,WITT,Jamie,Port Adelaide Enfield,Ward Councillor,Semaphore ward,3,No,,Not elected
Wright,Helen,WRIGHT,Helen,Port Adelaide Enfield,Ward Councillor,Semaphore ward,1,Yes,,Not elected
Bates,Sam,BATES,Sam,Port Augusta,Area Councillor,,12,No,,Elected
Bennett,Nora Fiona Ann,BENNETT,Nora,Port Augusta,Area Councillor,,3,No,,Elected
Brown,Phillip,BROWN,Phillip,Port Augusta,Area Councillor,,10,Yes,,Elected
Foote,Louise Anne,FOOTE,Louise,Port Augusta,Area Councillor,,2,Yes,,Elected
Marsh,Maralyn Anne,MARSH,Maralyn Anne,Port Augusta,Area Councillor,,7,Yes,,Elected
Mckinley,Michael Christopher,McKINLEY,Michael,Port Augusta,Area Councillor,,1,No,,Elected
Myers,Mark Anthony,MYERS,Mark,Port Augusta,Area Councillor,,8,No,,Elected
Naisbitt,John Eugene,NAISBITT ,John Eugene ,Port Augusta,Area Councillor,,4,Yes,,Elected
Saunderson,Anne-Marie,SAUNDERSON,Anne-marie,Port Augusta,Area Councillor,,5,No,,Not elected
Singh,Gagandeep,SINGH,Garry,Port Augusta,Area Councillor,,11,No,,Not elected
Singh,Baldev,SINGH,Sunny,Port Augusta,Area Councillor,,13,Yes,,Elected
Watson,Julie Anne,WATSON,Julie,Port Augusta,Area Councillor,,9,No,Australian Labor Party (South Australian Branch),Not elected
Williams,Robert Ian,WILLIAMS,Rob,Port Augusta,Area Councillor,,6,No,,Not elected
Benbow,Brett,BENBOW,Brett Andrew,Port Augusta,Mayor,,2,Yes,,Not elected
Shine,Linley Gayle,SHINE,Linley,Port Augusta,Mayor,,1,Yes,,Elected
Broadfoot,Andrea,BROADFOOT,Andrea Jane,Port Lincoln,Area Councillor,,2,Yes,,Elected
Brougham,Benjamin,BROUGHAM,Benjamin,Port Lincoln,Area Councillor,,10,No,,Not elected
Cowley,Dylan,COWLEY,Dylan,Port Lincoln,Area Councillor,,8,No,,Elected
Hollamby,Karen,HOLLAMBY,Karen,Port Lincoln,Area Councillor,,6,No,,Elected
Linn,Peter Malcolm,LINN,Peter,Port Lincoln,Area Councillor,,3,Yes,,Elected
Poynter,Lillian Katherina,POYNTER,Lillian K,Port Lincoln,Area Councillor,,9,No,National Party of Australia (SA) Inc,Elected
Richards,Shania Janet-Shayne,RICHARDS,Shania,Port Lincoln,Area Councillor,,5,No,,Elected
Ritchie,Jack,RITCHIE,Jack,Port Lincoln,Area Councillor,,7,Yes,,Elected
Rowsell,Robyn,ROWSELL,Robyn,Port Lincoln,Area Councillor,,1,Yes,,Elected
Staunton,Valerie Ann,STAUNTON,Valerie Ann,Port Lincoln,Area Councillor,,4,Yes,,Elected
Flaherty,Bradley Brian,FLAHERTY,Brad,Port Lincoln,Mayor,,1,Yes,Liberal Party of Australia (SA Division),Not elected
Mislov,Diana Lucia,MISLOV,Diana,Port Lincoln,Mayor,,2,No,,Elected
Bradley,Joshua,BRADLEY,Joshua,Port Pirie,Area Councillor,,11,No,,Not elected
Connor,Joby Todd,CONNOR,Joby Todd,Port Pirie,Area Councillor,,12,Yes,,Elected
Gorey,Carl James,GOREY,Carl,Port Pirie,Area Councillor,,10,No,,Not elected
Gulin,Alison Margaret,GULIN,Ali,Port Pirie,Area Councillor,,8,Yes,Liberal Party of Australia (SA Division),Elected
Hopgood,Michael,HOPGOOD,Mick,Port Pirie,Area Councillor,,2,Yes,Australian Labor Party (South Australian Branch),Elected
Jackson,Kendall Jayne,JACKSON,Kendall Jayne,Port Pirie,Area Councillor,,5,Yes,Liberal Party of Australia (SA Division),Elected
Joyce,Jade,JOYCE,Jade,Port Pirie,Area Councillor,,13,No,,Elected
Keain,John Joseph,KEAIN,Jack,Port Pirie,Area Councillor,,7,Yes,,Elected
Marks,Claire,MARKS,Claire,Port Pirie,Area Councillor,,9,No,,Not elected
Petagna,Grant Ashley,PETAGNA,Grant,Port Pirie,Area Councillor,,4,No,,Elected
Peters,Leeanne Margaret,PETERS,Leeanne,Port Pirie,Area Councillor,,1,No,,Elected
Tregilgas,Debra Jane,TREGILGAS,Deb,Port Pirie,Area Councillor,,14,No,,Not elected
Turton,Brandon Kyle,TURTON,Brandon,Port Pirie,Area Councillor,,6,No,Pauline Hanson’s One Nation,Not elected
Zubrinich,Alan James,ZUBRINICH,Alan ,Port Pirie,Area Councillor,,3,Yes,,Elected
Stephens,Leon,STEPHENS,Leon William,Port Pirie,Mayor,,,Yes,,Elected unopposed
Larwood,Matt,LARWOOD,Matt,Prospect,Mayor,,5,Yes,,Elected
Lee,Wah Hin,LEE,Wah Hin,Prospect,Mayor,,1,No,,Not elected
Menner,David Robert,MENNER,David ,Prospect,Mayor,,3,No,,Not elected
Pishas,Emmanouel,PISHAS,Emmanouel,Prospect,Mayor,,2,No,,Not elected
Sanderson,Rachel,SANDERSON,Rachel,Prospect,Mayor,,4,No,Liberal Party of Australia (SA Division),Not elected
De Backer,Alison Elizabeth,DE BACKER,Alison,Prospect,Ward Councillor,Central ward,5,Yes,,Elected
Groote,Mark,GROOTE,Mark,Prospect,Ward Councillor,Central ward,3,Yes,,Elected
Iammarrone,Tony,IAMMARRONE,Tony,Prospect,Ward Councillor,Central ward,1,No,,Not elected
Newall,Timothy Frederick,NEWALL,Timothy Frederick,Prospect,Ward Councillor,Central ward,2,No,,Not elected
Purvis,Catherine Victoria,PURVIS,Catherine,Prospect,Ward Councillor,Central ward,4,No,,Not elected
Battye,Caitlin,BATTYE,Caitlin,Prospect,Ward Councillor,East ward,6,No,Australian Greens SA,Not elected
Elsey,Kelly,ELSEY,Kelly,Prospect,Ward Councillor,East ward,3,No,,Not elected
Hollitt,Lillian,HOLLITT,Lillian,Prospect,Ward Councillor,East ward,4,No,,Elected
Mountford,Russell Desmond,MOUNTFORD,Russell,Prospect,Ward Councillor,East ward,5,No,,Not elected
Standen,Mark,STANDEN,Mark,Prospect,Ward Councillor,East ward,1,No,,Elected
Taylor,Bronwyn Helen,TAYLOR,Bronwyn,Prospect,Ward Councillor,East ward,2,No,,Not elected
Frossinakis,Sally Louise,FROSSINAKIS,Sally,Prospect,Ward Councillor,North ward,3,No,,Not elected
Lawrie,Lia Chivaun,LAWRIE,Lia,Prospect,Ward Councillor,North ward,5,No,Australian Labor Party (South Australian Branch),Not elected
Nelson,Jason Charles,NELSON,Jason,Prospect,Ward Councillor,North ward,4,No,,Elected
Nguyen,Thuy,NGUYEN,Thuy,Prospect,Ward Councillor,North ward,1,Yes,,Elected
Pearce,Robin Peter,PEARCE,Robin,Prospect,Ward Councillor,North ward,2,Yes,,Not elected
Reimann,Sarah Louise,REIMANN,Sarah Louise,Prospect,Ward Councillor,North ward,6,No,Liberal Party of Australia (SA Division),Not elected
Barnett,Kristina Murray,BARNETT,Kristina,Prospect,Ward Councillor,West ward,5,Yes,,Elected
Colaco,Romeo  James,COLACO,Romeo (Roy),Prospect,Ward Councillor,West ward,1,No,,Not elected
Hart,Wayne Aaron,HART,Wayne Aaron,Prospect,Ward Councillor,West ward,2,No,,Not elected
Jackson,Simon Christopher,JACKSON,Simon,Prospect,Ward Councillor,West ward,6,No,,Not elected
Nguyen,Trinh,NGUYEN,Trinh,Prospect,Ward Councillor,West ward,7,No,,Elected
Small,Carmel,SMALL,Carmel,Prospect,Ward Councillor,West ward,8,No,,Not elected
Taylor,Andrew Ronald,TAYLOR,Andrew,Prospect,Ward Councillor,West ward,3,No,,Not elected
Wortley,Che Gabriel,WORTLEY,Che,Prospect,Ward Councillor,West ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Brauer,Stephanie,BRAUER,Stephanie,Renmark Paringa,Area Councillor,,8,Yes,,Elected
Gibb,Bronte John,GIBB,(Jack) Bronte John,Renmark Paringa,Area Councillor,,4,No,,Elected
Grewal,Jung,GREWAL,Jung ,Renmark Paringa,Area Councillor,,6,No,Liberal Party of Australia (SA Division),Not elected
Howie,Margaret,HOWIE,Margaret,Renmark Paringa,Area Councillor,,9,Yes,,Elected
John,James Clarence,JOHN,James ,Renmark Paringa,Area Councillor,,1,No,,Elected
Maddocks,Allan Peter,MADDOCKS,Allan Peter,Renmark Paringa,Area Councillor,,7,Yes,,Not elected
Sims,David,SIMS,David,Renmark Paringa,Area Councillor,,5,Yes,,Elected
Spano,Maria Catherine,SPANO,Maria ,Renmark Paringa,Area Councillor,,3,Yes,,Elected
Townsend,Benjamin Anthony,TOWNSEND,Ben,Renmark Paringa,Area Councillor,,10,Yes,,Elected
Turton,Frank James,TURTON,Frank James,Renmark Paringa,Area Councillor,,2,No,,Elected
Du Rieu,Henry Robertson,DU RIEU,Henry,Renmark Paringa,Mayor,,1,Yes,,Not elected
Hunter,Peter,HUNTER,Peter,Renmark Paringa,Mayor,,2,Yes,,Elected
Alexander,Kristina Anne,ALEXANDER,Kristina,Robe,Area Councillor,,8,No,,Not elected
Baker,Mark Andrew,BAKER,Mark Andrew,Robe,Area Councillor,,10,Yes,,Not elected
Brown,Nicholas Mark,BROWN,Nick,Robe,Area Councillor,,5,No,,Elected
Dening-Wasson,Marcia Annette,DENING,Marcia,Robe,Area Councillor,,3,No,,Elected
Fried,Peter,FRIED,Peter Anthony,Robe,Area Councillor,,9,No,,Not elected
Laurie,David Park,LAURIE,David Park,Robe,Area Councillor,,12,Yes,,Not elected
Murphy,Mark Francis,MURPHY,Mark Francis,Robe,Area Councillor,,7,No,,Not elected
Peel,Kylie Michelle,PEEL,Kylie,Robe,Area Councillor,,1,No,,Elected
Ruffell,Lisa Jane,RUFFELL,Lisa,Robe,Area Councillor,,4,No,Liberal Party of Australia (SA Division),Elected
Wasson,Frederick,WASSON,Fred,Robe,Area Councillor,,2,No,,Not elected
Wright,Simon Ned,WRIGHT,Ned,Robe,Area Councillor,,6,Yes,,Elected
Young,Duncan Thomas,YOUNG,Duncan Thomas,Robe,Area Councillor,,11,No,,Elected
Aldridge,Gillian,ALDRIDGE,Gillian,Salisbury,Mayor,,3,Yes,,Elected
Caruso,Linda,CARUSO,Linda,Salisbury,Mayor,,2,No,,Not elected
Kessanis,Joshua Mark Cameron,KESSANIS,Josh,Salisbury,Mayor,,4,No,,Not elected
Reynolds,Graham Ronald,REYNOLDS,Graham,Salisbury,Mayor,,1,Yes,Liberal Party of Australia (SA Division),Not elected
Buchanan,Chad Robert Cambell,BUCHANAN,Chad,Salisbury,Ward Councillor,Central ward,3,Yes,Australian Labor Party (South Australian Branch),Elected
Burner,Severina,BURNER,Severina,Salisbury,Ward Councillor,Central ward,2,No,,Elected
Proleta,Donna Margaret,PROLETA,Donna Margaret,Salisbury,Ward Councillor,Central ward,5,Yes,,Not elected
Sharma,Sarika,SHARMA,Sarika,Salisbury,Ward Councillor,Central ward,4,No,Liberal Party of Australia (SA Division),Not elected
Singh,Mahinga,SINGH,Mahinga,Salisbury,Ward Councillor,Central ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Chewparsad,Rakesh,CHEWPARSAD,Johnny,Salisbury,Ward Councillor,East ward,3,No,,Elected
Dahal,Kamal,DAHAL,Kamal ,Salisbury,Ward Councillor,East ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Mazzeo,Moni,MAZZEO,Moni,Salisbury,Ward Councillor,East ward,2,No,,Elected
Bryant,David John,BRYANT,David John,Salisbury,Ward Councillor,Hills ward,3,No,Liberal Party of Australia (SA Division),Not elected
Jensen,Peter David,JENSEN,Peter,Salisbury,Ward Councillor,Hills ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Reardon,Shiralee Ann,REARDON,Shiralee ,Salisbury,Ward Councillor,Hills ward,5,Yes,,Elected
Schneider,Paul,SCHNEIDER,Paul,Salisbury,Ward Councillor,Hills ward,1,No,,Not elected
Weetra,Kyron Victor Joseph,WEETRA,Kyron,Salisbury,Ward Councillor,Hills ward,4,No,,Not elected
Bawden,Grace Katherine,BAWDEN,Grace Katherine,Salisbury,Ward Councillor,North ward,1,No,,Elected
Hood,David William,HOOD,David,Salisbury,Ward Councillor,North ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Khan,Munhemul Karim,KHAN,Munhemul ,Salisbury,Ward Councillor,North ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Sunkanpally,Ananda,SUNKANPALLY,Ananda,Salisbury,Ward Councillor,North ward,3,No,,Not elected
Bawden,Matilda,BAWDEN,Matilda,Salisbury,Ward Councillor,Para ward,1,No,Pauline Hanson’s One Nation,Not elected
Gohil,Ruturajsinh,GOHIL,Raj,Salisbury,Ward Councillor,Para ward,2,No,,Not elected
Grenfell,Kylie Ann,GRENFELL,Kylie,Salisbury,Ward Councillor,Para ward,4,Yes,,Elected
Kalia,Vikas,KALIA,Vikas,Salisbury,Ward Councillor,Para ward,8,No,,Not elected
Kapasi,Milankumar,KAPASI,Milankumar Jagdishbhai,Salisbury,Ward Councillor,Para ward,3,No,,Not elected
Ouk,Sarah,OUK,Sarah,Salisbury,Ward Councillor,Para ward,6,Yes,Australian Labor Party (South Australian Branch),Elected
Watson,Edward Joseph,WATSON,Edward Joseph,Salisbury,Ward Councillor,Para ward,5,Yes,,Not elected
Zahra,Riccardo Charles,ZAHRA,Riccardo,Salisbury,Ward Councillor,Para ward,7,No,Australian Labor Party (South Australian Branch),Not elected
Brug,Lauren Ashley,BRUG,Lauren,Salisbury,Ward Councillor,South ward,2,No,Australian Labor Party (South Australian Branch),Elected
Eyles,Anthony Byron,EYLES,Tony,Salisbury,Ward Councillor,South ward,3,No,,Not elected
Graham,Alan Jarrod,GRAHAM,Alan,Salisbury,Ward Councillor,South ward,4,No,,Elected
