source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,USA,Total,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,USA,Total,,13
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,USA,Total,,17
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,USA,Total,,26
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,USA,Total,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Vietnam,Own drug use,,20
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Vietnam,Own drug use,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Vietnam,Own drug use,,35
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Vietnam,Own drug use,,28
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Vietnam,Own drug use,,59
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Vietnam,Own drug use,,70
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Vietnam,Own drug use,,94
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Vietnam,Own drug use,,122
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Vietnam,Own drug use,,85
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Vietnam,Own drug use,,109
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Vietnam,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Vietnam,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Vietnam,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Vietnam,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Vietnam,Other's drug use,,51
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Vietnam,Other's drug use,,29
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Vietnam,Other's drug use,,49
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Vietnam,Other's drug use,,26
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Vietnam,Other's drug use,,24
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Vietnam,Other's drug use,,8
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Vietnam,Total,,20
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Vietnam,Total,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Vietnam,Total,,35
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Vietnam,Total,,28
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Vietnam,Total,,110
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Vietnam,Total,,99
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Vietnam,Total,,143
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Vietnam,Total,,148
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Vietnam,Total,,109
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Vietnam,Total,,117
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Philippines,Own drug use,,21
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Philippines,Own drug use,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Philippines,Own drug use,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Philippines,Own drug use,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Philippines,Own drug use,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Philippines,Own drug use,,4
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Philippines,Own drug use,,14
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Philippines,Own drug use,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Philippines,Own drug use,,20
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Philippines,Own drug use,,26
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Philippines,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Philippines,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Philippines,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Philippines,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Philippines,Total,,21
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Philippines,Total,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Philippines,Total,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Philippines,Total,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Philippines,Total,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Philippines,Total,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Philippines,Total,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Philippines,Total,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Philippines,Total,,21
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Philippines,Total,,26
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,India,Own drug use,,65
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,India,Own drug use,,52
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,India,Own drug use,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,India,Own drug use,,26
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,India,Own drug use,,42
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,India,Own drug use,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,India,Own drug use,,19
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,India,Own drug use,,28
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,India,Own drug use,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,India,Own drug use,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,India,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,India,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,India,Other's drug use,,0
