reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2007-Q2,Working days Lost,Resumption without negotiation,,000,A2540934F,0.7
2007-Q2,Working days Lost,Mediation,,000,A2540928K,0.4
2007-Q2,Working days Lost,Total Reasons,,000,A2540946R,9.9
2007-Q3,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,10
2007-Q3,Number of Disputes,Federal legislation,,Number,A2540938R,6
2007-Q3,Number of Disputes,Pre-determined return to work,,Number,A2540950F,15
2007-Q3,Number of Disputes,Resumption without negotiation,,Number,A2540932A,8
2007-Q3,Number of Disputes,Total Reasons,,Number,A2540944K,42
2007-Q3,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,0.8
2007-Q3,Employees Involved,State legislation,,000,A2540942F,0.1
2007-Q3,Employees Involved,Federal legislation,,000,A2540939T,1.5
2007-Q3,Employees Involved,Pre-determined return to work,,000,A2540951J,1.1
2007-Q3,Employees Involved,Resumption without negotiation,,000,A2540933C,2.3
