table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1181.7
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,321
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,336
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,301.5
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,304.1
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,341.2
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1202
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1211
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,743.8
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,747.6
01,"National quarterly disputes, employees involved and working days lost",1990-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1047.8
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,288
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,309
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,136.1
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,317.1
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,572.2
01,"National quarterly disputes, employees involved and working days lost",1990-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1189
