date,state_code,state_name,registration_type,sex,registrations
2007-09-01,SA,South Australia,Intent,Female,272223
2007-09-01,TAS,Tasmania,Intent,Female,78222
2007-09-01,VIC,Victoria,Intent,Female,268498
2007-09-01,WA,Western Australia,Intent,Female,251304
2007-09-01,ACT,Australian Capital Territory,Intent,Male,11320
2007-09-01,NSW,New South Wales,Intent,Male,1058717
2007-09-01,NT,Northern Territory,Intent,Male,4049
2007-09-01,QLD,Queensland,Intent,Male,332763
2007-09-01,SA,South Australia,Intent,Male,275389
2007-09-01,TAS,Tasmania,Intent,Male,77418
2007-09-01,VIC,Victoria,Intent,Male,194832
2007-09-01,WA,Western Australia,Intent,Male,243312
2007-09-01,ACT,Australian Capital Territory,Intent,Total,26749.00
2007-09-01,NSW,New South Wales,Intent,Total,2088312.00
2007-09-01,NT,Northern Territory,Intent,Total,9971.00
2007-09-01,QLD,Queensland,Intent,Total,644288.00
2007-09-01,SA,South Australia,Intent,Total,548098.00
2007-09-01,TAS,Tasmania,Intent,Total,155640.00
2007-09-01,VIC,Victoria,Intent,Total,467314.00
2007-09-01,WA,Western Australia,Intent,Total,495985.00
2007-10-01,ACT,Australian Capital Territory,Consent,Female,10739
2007-10-01,NSW,New South Wales,Consent,Female,149785
2007-10-01,NT,Northern Territory,Consent,Female,4780
2007-10-01,QLD,Queensland,Consent,Female,124999
2007-10-01,SA,South Australia,Consent,Female,52829
2007-10-01,TAS,Tasmania,Consent,Female,15222
2007-10-01,VIC,Victoria,Consent,Female,145508
2007-10-01,WA,Western Australia,Consent,Female,87931
2007-10-01,ACT,Australian Capital Territory,Consent,Male,7047
2007-10-01,NSW,New South Wales,Consent,Male,105997
2007-10-01,NT,Northern Territory,Consent,Male,2811
2007-10-01,QLD,Queensland,Consent,Male,85634
2007-10-01,SA,South Australia,Consent,Male,38377
2007-10-01,TAS,Tasmania,Consent,Male,10043
2007-10-01,VIC,Victoria,Consent,Male,96193
2007-10-01,WA,Western Australia,Consent,Male,58179
2007-10-01,ACT,Australian Capital Territory,Consent,Total,17786
2007-10-01,NSW,New South Wales,Consent,Total,255782
2007-10-01,NT,Northern Territory,Consent,Total,7591
2007-10-01,QLD,Queensland,Consent,Total,210633
2007-10-01,SA,South Australia,Consent,Total,91206
2007-10-01,TAS,Tasmania,Consent,Total,25265
2007-10-01,VIC,Victoria,Consent,Total,241701
2007-10-01,WA,Western Australia,Consent,Total,146110
2007-11-01,ACT,Australian Capital Territory,Consent,Female,10915
2007-11-01,NSW,New South Wales,Consent,Female,152031
2007-11-01,NT,Northern Territory,Consent,Female,4893
2007-11-01,QLD,Queensland,Consent,Female,127595
2007-11-01,SA,South Australia,Consent,Female,53387
2007-11-01,TAS,Tasmania,Consent,Female,16126
2007-11-01,VIC,Victoria,Consent,Female,148107
2007-11-01,WA,Western Australia,Consent,Female,89351
2007-11-01,ACT,Australian Capital Territory,Consent,Male,7156
2007-11-01,NSW,New South Wales,Consent,Male,107057
2007-11-01,NT,Northern Territory,Consent,Male,2878
2007-11-01,QLD,Queensland,Consent,Male,87114
2007-11-01,SA,South Australia,Consent,Male,38704
2007-11-01,TAS,Tasmania,Consent,Male,10644
2007-11-01,VIC,Victoria,Consent,Male,97592
2007-11-01,WA,Western Australia,Consent,Male,58937
2007-11-01,ACT,Australian Capital Territory,Consent,Total,18071
2007-11-01,NSW,New South Wales,Consent,Total,259088
2007-11-01,NT,Northern Territory,Consent,Total,7771
2007-11-01,QLD,Queensland,Consent,Total,214709
2007-11-01,SA,South Australia,Consent,Total,92091
2007-11-01,TAS,Tasmania,Consent,Total,26770
2007-11-01,VIC,Victoria,Consent,Total,245699
2007-11-01,WA,Western Australia,Consent,Total,148288
2007-11-01,ACT,Australian Capital Territory,Intent,Female,15345
2007-11-01,NSW,New South Wales,Intent,Female,1026917
2007-11-01,NT,Northern Territory,Intent,Female,5860
2007-11-01,QLD,Queensland,Intent,Female,310226
2007-11-01,SA,South Australia,Intent,Female,271428
2007-11-01,TAS,Tasmania,Intent,Female,76828
2007-11-01,VIC,Victoria,Intent,Female,267460
2007-11-01,WA,Western Australia,Intent,Female,249837
2007-11-01,ACT,Australian Capital Territory,Intent,Male,11254
2007-11-01,NSW,New South Wales,Intent,Male,1057142
2007-11-01,NT,Northern Territory,Intent,Male,4014
2007-11-01,QLD,Queensland,Intent,Male,331997
2007-11-01,SA,South Australia,Intent,Male,275046
2007-11-01,TAS,Tasmania,Intent,Male,76497
2007-11-01,VIC,Victoria,Intent,Male,194363
2007-11-01,WA,Western Australia,Intent,Male,242390
2007-11-01,ACT,Australian Capital Territory,Intent,Total,26600
2007-11-01,NSW,New South Wales,Intent,Total,2084093
2007-11-01,NT,Northern Territory,Intent,Total,9876
2007-11-01,QLD,Queensland,Intent,Total,642225
2007-11-01,SA,South Australia,Intent,Total,546959
2007-11-01,TAS,Tasmania,Intent,Total,153325
2007-11-01,VIC,Victoria,Intent,Total,465805
2007-11-01,WA,Western Australia,Intent,Total,493594
2007-12-01,ACT,Australian Capital Territory,Consent,Female,11067
2007-12-01,NSW,New South Wales,Consent,Female,153991
2007-12-01,NT,Northern Territory,Consent,Female,4992
2007-12-01,QLD,Queensland,Consent,Female,129569
2007-12-01,SA,South Australia,Consent,Female,54018
2007-12-01,TAS,Tasmania,Consent,Female,16729
2007-12-01,VIC,Victoria,Consent,Female,150627
2007-12-01,WA,Western Australia,Consent,Female,90700
2007-12-01,ACT,Australian Capital Territory,Consent,Male,7248
2007-12-01,NSW,New South Wales,Consent,Male,108079
2007-12-01,NT,Northern Territory,Consent,Male,2922
2007-12-01,QLD,Queensland,Consent,Male,88207
2007-12-01,SA,South Australia,Consent,Male,39030
2007-12-01,TAS,Tasmania,Consent,Male,10954
2007-12-01,VIC,Victoria,Consent,Male,99024
2007-12-01,WA,Western Australia,Consent,Male,59680
2007-12-01,ACT,Australian Capital Territory,Consent,Total,18315
2007-12-01,NSW,New South Wales,Consent,Total,262070
2007-12-01,NT,Northern Territory,Consent,Total,7914
2007-12-01,QLD,Queensland,Consent,Total,217776
2007-12-01,SA,South Australia,Consent,Total,93048
2007-12-01,TAS,Tasmania,Consent,Total,27683
2007-12-01,VIC,Victoria,Consent,Total,249651
2007-12-01,WA,Western Australia,Consent,Total,150380
2007-12-01,ACT,Australian Capital Territory,Intent,Female,15287
2007-12-01,NSW,New South Wales,Intent,Female,1025472
2007-12-01,NT,Northern Territory,Intent,Female,5817
2007-12-01,QLD,Queensland,Intent,Female,309579
2007-12-01,SA,South Australia,Intent,Female,270921
2007-12-01,TAS,Tasmania,Intent,Female,76397
2007-12-01,VIC,Victoria,Intent,Female,266776
2007-12-01,WA,Western Australia,Intent,Female,249070
2007-12-01,ACT,Australian Capital Territory,Intent,Male,11217
2007-12-01,NSW,New South Wales,Intent,Male,1056398
2007-12-01,NT,Northern Territory,Intent,Male,3997
2007-12-01,QLD,Queensland,Intent,Male,331704
2007-12-01,SA,South Australia,Intent,Male,274787
2007-12-01,TAS,Tasmania,Intent,Male,76269
2007-12-01,VIC,Victoria,Intent,Male,194041
2007-12-01,WA,Western Australia,Intent,Male,241962
2007-12-01,ACT,Australian Capital Territory,Intent,Total,26505
2007-12-01,NSW,New South Wales,Intent,Total,2081904
2007-12-01,NT,Northern Territory,Intent,Total,9816
2007-12-01,QLD,Queensland,Intent,Total,641285
2007-12-01,SA,South Australia,Intent,Total,546193
2007-12-01,TAS,Tasmania,Intent,Total,152666
2007-12-01,VIC,Victoria,Intent,Total,464798
2007-12-01,WA,Western Australia,Intent,Total,492397
2008-01-01,ACT,Australian Capital Territory,Consent,Female,11231
2008-01-01,NSW,New South Wales,Consent,Female,155629
2008-01-01,NT,Northern Territory,Consent,Female,5098
2008-01-01,QLD,Queensland,Consent,Female,131275
2008-01-01,SA,South Australia,Consent,Female,54577
2008-01-01,TAS,Tasmania,Consent,Female,17072
2008-01-01,VIC,Victoria,Consent,Female,152795
2008-01-01,WA,Western Australia,Consent,Female,92103
2008-01-01,ACT,Australian Capital Territory,Consent,Male,7340
