sex,period,type_of_homicide,unit,value,data_flag
Males,2017–18,Domestic,"Rate (Number per 100,000)",0.30,
Males,2018–19,Domestic,"Rate (Number per 100,000)",0.26,
Males,2019–20,Domestic,"Rate (Number per 100,000)",0.25,
Males,2020–21,Domestic,"Rate (Number per 100,000)",0.26,
Males,2021–22,Domestic,"Rate (Number per 100,000)",0.19,
Males,2022–23,Domestic,"Rate (Number per 100,000)",0.30,
Males,2023–24,Domestic,"Rate (Number per 100,000)",0.25,
Males,2024–25,Domestic,"Rate (Number per 100,000)",0.36,
Males,1989–90,Family,"Rate (Number per 100,000)",0.33,
Males,1990–91,Family,"Rate (Number per 100,000)",0.34,
Males,1991–92,Family,"Rate (Number per 100,000)",0.23,
Males,1992–93,Family,"Rate (Number per 100,000)",0.39,
Males,1993–94,Family,"Rate (Number per 100,000)",0.44,
Males,1994–95,Family,"Rate (Number per 100,000)",0.45,
Males,1995–96,Family,"Rate (Number per 100,000)",0.37,
Males,1996–97,Family,"Rate (Number per 100,000)",0.44,
Males,1997–98,Family,"Rate (Number per 100,000)",0.38,
Males,1998–99,Family,"Rate (Number per 100,000)",0.28,
Males,1999–2000,Family,"Rate (Number per 100,000)",0.43,
Males,2000–01,Family,"Rate (Number per 100,000)",0.22,
Males,2001–02,Family,"Rate (Number per 100,000)",0.52,
Males,2002–03,Family,"Rate (Number per 100,000)",0.36,
Males,2003–04,Family,"Rate (Number per 100,000)",0.30,
Males,2004–05,Family,"Rate (Number per 100,000)",0.34,
Males,2005–06,Family,"Rate (Number per 100,000)",0.34,
Males,2006–07,Family,"Rate (Number per 100,000)",0.32,
Males,2007–08,Family,"Rate (Number per 100,000)",0.37,
Males,2008–09,Family,"Rate (Number per 100,000)",0.15,*
Males,2009–10,Family,"Rate (Number per 100,000)",0.26,
Males,2010–11,Family,"Rate (Number per 100,000)",0.22,
Males,2011–12,Family,"Rate (Number per 100,000)",0.26,
Males,2012–13,Family,"Rate (Number per 100,000)",0.26,
Males,2013–14,Family,"Rate (Number per 100,000)",0.16,*
Males,2014–15,Family,"Rate (Number per 100,000)",0.29,
Males,2015–16,Family,"Rate (Number per 100,000)",0.25,
Males,2016–17,Family,"Rate (Number per 100,000)",0.26,
Males,2017–18,Family,"Rate (Number per 100,000)",0.20,
Males,2018–19,Family,"Rate (Number per 100,000)",0.15,*
Males,2019–20,Family,"Rate (Number per 100,000)",0.18,
Males,2020–21,Family,"Rate (Number per 100,000)",0.16,
Males,2021–22,Family,"Rate (Number per 100,000)",0.11,*
Males,2022–23,Family,"Rate (Number per 100,000)",0.27,
Males,2023–24,Family,"Rate (Number per 100,000)",0.18,
Males,2024–25,Family,"Rate (Number per 100,000)",0.26,
Males,1989–90,Intimate partner,"Rate (Number per 100,000)",0.36,
Males,1990–91,Intimate partner,"Rate (Number per 100,000)",0.19,*
Males,1991–92,Intimate partner,"Rate (Number per 100,000)",0.27,*
Males,1992–93,Intimate partner,"Rate (Number per 100,000)",0.27,*
Males,1993–94,Intimate partner,"Rate (Number per 100,000)",0.39,
Males,1994–95,Intimate partner,"Rate (Number per 100,000)",0.37,
Males,1995–96,Intimate partner,"Rate (Number per 100,000)",0.29,*
Males,1996–97,Intimate partner,"Rate (Number per 100,000)",0.15,*
Males,1997–98,Intimate partner,"Rate (Number per 100,000)",0.32,
Males,1998–99,Intimate partner,"Rate (Number per 100,000)",0.23,*
Males,1999–2000,Intimate partner,"Rate (Number per 100,000)",0.26,*
Males,2000–01,Intimate partner,"Rate (Number per 100,000)",0.16,*
Males,2001–02,Intimate partner,"Rate (Number per 100,000)",0.25,*
Males,2002–03,Intimate partner,"Rate (Number per 100,000)",0.26,*
Males,2003–04,Intimate partner,"Rate (Number per 100,000)",0.23,*
Males,2004–05,Intimate partner,"Rate (Number per 100,000)",0.24,*
Males,2005–06,Intimate partner,"Rate (Number per 100,000)",0.20,*
Males,2006–07,Intimate partner,"Rate (Number per 100,000)",0.30,
Males,2007–08,Intimate partner,"Rate (Number per 100,000)",0.23,*
Males,2008–09,Intimate partner,"Rate (Number per 100,000)",0.16,*
Males,2009–10,Intimate partner,"Rate (Number per 100,000)",0.19,*
Males,2010–11,Intimate partner,"Rate (Number per 100,000)",0.17,*
Males,2011–12,Intimate partner,"Rate (Number per 100,000)",0.14,*
Males,2012–13,Intimate partner,"Rate (Number per 100,000)",0.16,*
Males,2013–14,Intimate partner,"Rate (Number per 100,000)",0.16,*
Males,2014–15,Intimate partner,"Rate (Number per 100,000)",0.17,*
Males,2015–16,Intimate partner,"Rate (Number per 100,000)",0.11,*
Males,2016–17,Intimate partner,"Rate (Number per 100,000)",0.15,*
