year,offence,location,unit,value
2024,Sexual assault,New South Wales,Proportion,47.2
2024,Sexual assault,Queensland,Proportion,44.9
2024,Sexual assault,South Australia,Proportion,35.7
2024,Sexual assault,Northern Territory,Proportion,n.p.
2016,Assault,New South Wales,"Victimisation rate (number per 100,000)",1012.1
2016,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2016,Assault,South Australia,"Victimisation rate (number per 100,000)",3463.9
2016,Assault,Northern Territory,"Victimisation rate (number per 100,000)",4691.1
2016,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",0.0
2016,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",1.4
2016,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",7.1
2016,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2016,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",1.1
2016,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2016,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",16.6
2016,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2016,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",84.7
2016,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",95.4
2016,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",130.1
2016,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",91.2
2017,Assault,New South Wales,"Victimisation rate (number per 100,000)",1012.6
2017,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2017,Assault,South Australia,"Victimisation rate (number per 100,000)",3233.1
2017,Assault,Northern Territory,"Victimisation rate (number per 100,000)",5261.1
2017,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",1.1
2017,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",3.1
2017,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",13.9
2017,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",9.3
2017,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",1.5
2017,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2017,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",7.0
2017,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2017,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",119.7
2017,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",87.5
2017,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",83.6
2017,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",111.5
2018,Assault,New South Wales,"Victimisation rate (number per 100,000)",1017.6
2018,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2018,Assault,South Australia,"Victimisation rate (number per 100,000)",3529.1
2018,Assault,Northern Territory,"Victimisation rate (number per 100,000)",5077.2
2018,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",3.3
2018,Homicide and related offences,Queensland,"Victimisation rate (number per 100,000)",3.5
2018,Homicide and related offences,South Australia,"Victimisation rate (number per 100,000)",0.0
2018,Homicide and related offences,Northern Territory,"Victimisation rate (number per 100,000)",3.9
2018,Kidnapping/abduction,New South Wales,"Victimisation rate (number per 100,000)",2.5
2018,Kidnapping/abduction,Queensland,"Victimisation rate (number per 100,000)",0.0
2018,Kidnapping/abduction,South Australia,"Victimisation rate (number per 100,000)",6.8
2018,Kidnapping/abduction,Northern Territory,"Victimisation rate (number per 100,000)",0.0
2018,Sexual assault,New South Wales,"Victimisation rate (number per 100,000)",109.9
2018,Sexual assault,Queensland,"Victimisation rate (number per 100,000)",117.2
2018,Sexual assault,South Australia,"Victimisation rate (number per 100,000)",123.0
2018,Sexual assault,Northern Territory,"Victimisation rate (number per 100,000)",82.8
2019,Assault,New South Wales,"Victimisation rate (number per 100,000)",1047.9
2019,Assault,Queensland,"Victimisation rate (number per 100,000)",n.p.
2019,Assault,South Australia,"Victimisation rate (number per 100,000)",3707.8
2019,Assault,Northern Territory,"Victimisation rate (number per 100,000)",4685.3
2019,Homicide and related offences,New South Wales,"Victimisation rate (number per 100,000)",0.0
