date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2021-02,Beef and veal,False,,11.7,0.5
2021-03,Beef and veal,False,,8.6,0.4
2021-04,Beef and veal,False,,14.2,1.8
2021-05,Beef and veal,False,,12.5,1.2
2021-06,Beef and veal,False,,10.9,-0.1
2021-07,Beef and veal,False,,10.3,0.1
2021-08,Beef and veal,False,,9.6,-0.3
2021-09,Beef and veal,False,,10.5,-0.2
2021-10,Beef and veal,False,,8.9,-0.2
2021-11,Beef and veal,False,,9.1,0.6
2021-12,Beef and veal,False,,7.7,2
2022-01,Beef and veal,False,,11.4,5
2022-02,Beef and veal,False,,11.2,0.3
2022-03,Beef and veal,False,,12.7,1.8
2022-04,Beef and veal,False,,11,0.2
2022-05,Beef and veal,False,,10.1,0.5
2022-06,Beef and veal,False,,10,-0.3
2022-07,Beef and veal,False,,10.3,0.4
2022-08,Beef and veal,False,,10.1,-0.4
2022-09,Beef and veal,False,,10.3,0
2022-10,Beef and veal,False,,9.7,-0.8
2022-11,Beef and veal,False,,9.3,0.2
2022-12,Beef and veal,False,,7.2,0.1
2023-01,Beef and veal,False,,1.8,-0.3
2023-02,Beef and veal,False,,1.5,0
2023-03,Beef and veal,False,,-0.9,-0.5
2023-04,Beef and veal,False,,-1.9,-0.8
2023-05,Beef and veal,False,,-2.7,-0.3
2023-06,Beef and veal,False,,-3.6,-1.1
2023-07,Beef and veal,False,,-3.8,0.1
2023-08,Beef and veal,False,,-3.2,0.2
2023-09,Beef and veal,False,,-4.4,-1.2
2023-10,Beef and veal,False,,-3.9,-0.3
2023-11,Beef and veal,False,,-4.2,-0.1
2023-12,Beef and veal,False,,-4.9,-0.7
2024-01,Beef and veal,False,,-4.7,-0.1
2024-02,Beef and veal,False,,-6,-1.5
2024-03,Beef and veal,False,,-5,0.6
2024-04,Beef and veal,False,,-4.4,-0.2
2024-05,Beef and veal,False,,-3.9,0.2
2024-06,Beef and veal,False,,-3,-0.2
2024-07,Beef and veal,False,,-2.9,0.2
2024-08,Beef and veal,False,,-2.3,0.9
2024-09,Beef and veal,False,,-1.2,-0.1
2024-10,Beef and veal,False,,-1.1,-0.2
2024-11,Beef and veal,False,,-0.5,0.5
2024-12,Beef and veal,False,,0.3,0.2
2025-01,Beef and veal,False,,1.4,0.9
2025-02,Beef and veal,False,,2,-0.8
2025-03,Beef and veal,False,,3.5,2.1
2025-04,Beef and veal,False,,3.4,-0.2
2025-05,Beef and veal,False,,3.6,0.3
2025-06,Beef and veal,False,,5.8,1.9
2025-07,Beef and veal,False,,4.8,-0.7
2025-08,Beef and veal,False,,5.3,1.3
2025-09,Beef and veal,False,,7.1,1.7
2025-10,Beef and veal,False,,10.1,2.6
2025-11,Beef and veal,False,,11.3,1.5
2025-12,Beef and veal,False,,10.7,-0.3
2026-01,Beef and veal,False,,11.1,1.3
2026-02,Beef and veal,False,,13.2,1.1
2026-03,Beef and veal,False,,11.7,0.7
2026-04,Beef and veal,False,,11.6,-0.3
2026-05,Beef and veal,False,,12.9,1.5
2017-10,Beer,False,,,0.7
2017-11,Beer,False,,,0.1
2017-12,Beer,False,,,-1.1
2018-01,Beer,False,,,1.7
2018-02,Beer,False,,,0.6
2018-03,Beer,False,,,0.3
2018-04,Beer,False,,,-0.5
2018-05,Beer,False,,,-0.6
