table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Known prior imprisonment - Proportion (%),52.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Unsentenced,43.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Male imprisonment rate (e),271.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Female imprisonment rate (e),15.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Total imprisonment rate (e),141
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Total prisoners (d) - Number,6569
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Males,6218
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Females,341
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Aboriginal and Torres Strait Islander,695
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Non-Indigenous,5703
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Known prior imprisonment - Proportion (%),53.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Unsentenced,42.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Male imprisonment rate (e),245.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Female imprisonment rate (e),12.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2022,Total imprisonment rate (e),126.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Total prisoners (d) - Number,6440
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Males,6142
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Females,299
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Aboriginal and Torres Strait Islander,812
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Non-Indigenous,5520
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Known prior imprisonment - Proportion (%),54.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Unsentenced,37.4
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Male imprisonment rate (e),235.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2023,Female imprisonment rate (e),11
