table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,Qld,39.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,SA,26.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,WA,44.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,Tas.,25.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,NT,88.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,ACT,31.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,Aust.,37.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,NSW,65.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,Vic.,83.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,Qld,60.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,SA,73.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,WA,55.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,Tas.,68.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,NT,11.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,ACT,69.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Non-Indigenous,Aust.,62.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,NSW,0.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,Vic.,3.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,Qld,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,SA,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,WA,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,Tas.,4.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,NT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,ACT,0
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Unknown,Aust.,0.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,NSW,56.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,Vic.,60.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,Qld,57.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,SA,54.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,WA,60.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,Tas.,57.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,NT,51.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Legal status,Sentenced,ACT,64.7
