"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.28","2022-23","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers per 100000 people","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.9","1.3","0.7","1.2","1.2","..","..","..","..","1.0"
"7A.28","2022-23","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.6","2.2","1.8","2.0","2.0","2.3","2.0","7.0","..","1.9"
"7A.28","2022-23","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.3","0.3","0.2","0.3","0.3","0.2","0.3","0.7","..","0.3"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","181.6","186.6","127.6","73.5","56.2","14.8","12.5","17.4","..","670.1"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers","Criminal","Supreme courts","","","","State and territory court authorities and departments (unpublished)","no.","11.9","13.4","11.8","4.9","8.4","5.3","4.6","5.6","..","65.9"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers","Criminal","District/county courts","","","","State and territory court authorities and departments (unpublished)","no.","61.9","68.0","29.5","27.1","16.3","..","..","..","..","202.7"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","State and territory court authorities and departments (unpublished)","no.","96.0","98.6","77.5","37.2","30.1","8.7","7.3","10.6","..","366.0"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers","Criminal","Magistrates' courts","Children's courts","","","State and territory court authorities and departments (unpublished)","no.","11.9","6.6","8.8","4.3","1.4","0.8","0.5","1.2","..","35.4"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","105.8","150.1","48.9","63.7","26.9","9.2","5.0","13.4","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Number of FTE judicial officers","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","98.8","138.2","39.9","44.7","23.3","6.2","4.8","11.9","..","367.7"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Supreme","","Number of FTE judicial officers","Civil","Supreme courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","45.0","52.6","14.0","19.9","7.2","2.8","2.5","4.9","..","149.0"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","District/county","","Number of FTE judicial officers","Civil","District/county courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","11.1","23.9","6.3","5.8","5.2","..","..","..","..","52.3"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Australian state and territory court authorities and departments (unpublished)","no.","27.5","46.4","16.8","15.9","7.5","3.2","1.7","6.4","..","125.4"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Children's","","Number of FTE judicial officers","Civil","Magistrates' courts","Children's courts","","","Australian state and territory court authorities and departments (unpublished)","no.","15.1","15.3","2.8","3.1","3.4","0.2","0.6","0.6","..","41.1"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Number of FTE judicial officers","Civil","Federal Court of Australia","","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","49.2","49.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","15.1","..","..","..","..","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","FCFCOA (Division 2)","Non-family law matters","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Coroners'","","Number of FTE judicial officers","Civil","Coroners' courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","7.0","11.9","9.0","4.0","3.6","3.0","0.2","1.5","..","40.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","All criminal and civil courts","","Number of FTE judicial officers","Criminal and civil","All criminal and civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","287.4","336.7","176.5","137.2","83.2","24.0","17.4","30.8","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Supreme","","Number of FTE judicial officers","Criminal and civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","56.9","66.0","25.8","24.8","15.7","8.1","7.1","10.5","..","214.9"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","73.0","91.9","35.7","32.9","21.5","..","..","..","..","255.0"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","123.5","145.0","94.3","53.1","37.6","11.9","9.0","17.0","..","491.4"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","27.0","21.8","11.6","7.4","4.8","1.0","1.1","1.8","..","76.5"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers per 100000 people","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","2.2","2.8","2.4","2.7","3.1","2.6","2.7","7.0","..","2.6"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers per 100000 people","Criminal","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.2","0.2","0.2","0.5","0.9","1.0","2.2","..","0.3"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers per 100000 people","Criminal","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.8","1.0","0.6","1.0","0.9","..","..","..","..","0.8"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.2","1.5","1.5","1.3","1.7","1.5","1.6","4.3","..","1.4"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.5","..","0.1"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers per 100000 people","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.3","2.3","0.9","2.3","1.5","1.6","1.1","5.4","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Number of FTE judicial officers per 100000 people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.2","2.1","0.8","1.6","1.3","1.1","1.1","4.8","..","1.4"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Supreme","","Number of FTE judicial officers per 100000 people","Civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.6","0.8","0.3","0.7","0.4","0.5","0.5","2.0","..","0.6"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","District/county","","Number of FTE judicial officers per 100000 people","Civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.4","0.1","0.2","0.3","..","..","..","..","0.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.3","0.7","0.3","0.6","0.4","0.6","0.4","2.6","..","0.5"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Children's","","Number of FTE judicial officers per 100000 people","Civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.2","0.2","0.1","0.1","0.2","0","0.1","0.2","..","0.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Number of FTE judicial officers per 100000 people","Civil","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","..","..","..","..","..","0.2","0.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Number of FTE judicial officers per 100000 people","Civil","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","0.5","..","..","..","..","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Number of FTE judicial officers per 100000 people","Civil","FCFCOA (Division 2)","Non-family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","..","..","..","..","..","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Civil","Coroners'","","Number of FTE judicial officers per 100000 people","Civil","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.2","0.2","0.1","0.2","0.5","0","0.6","..","0.2"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","All criminal and civil courts","","Number of FTE judicial officers per 100000 people","Criminal and civil","All criminal and civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","3.6","5.1","3.4","5.0","4.6","4.2","3.8","12.4","na","na"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Supreme","","Number of FTE judicial officers per 100000 people","Criminal and civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.7","1.0","0.5","0.9","0.9","1.4","1.6","4.2","..","0.8"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers per 100000 people","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.9","1.4","0.7","1.2","1.2","..","..","..","..","1.0"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.5","2.2","1.8","1.9","2.1","2.1","2.0","6.8","..","1.9"
"7A.28","2021-22","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.3","0.3","0.2","0.3","0.3","0.2","0.3","0.7","..","0.3"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","176.4","162.4","124.5","71.8","51.5","15.6","10.5","15.6","..","628.3"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers","Criminal","Supreme courts","","","","State and territory court authorities and departments (unpublished)","no.","12.0","12.4","12.2","7.2","6.9","5.1","4.0","4.9","..","64.7"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers","Criminal","District/county courts","","","","State and territory court authorities and departments (unpublished)","no.","62.7","50.7","28.9","25.6","15.0","..","..","..","..","182.9"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","State and territory court authorities and departments (unpublished)","no.","89.3","94.1","75.4","35.2","28.2","9.4","6.1","9.6","..","347.3"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers","Criminal","Magistrates' courts","Children's courts","","","State and territory court authorities and departments (unpublished)","no.","12.3","5.2","8.1","3.8","1.4","1.1","0.4","1.1","..","33.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","104.7","145.2","47.5","59.8","27.8","8.2","4.2","12.1","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Number of FTE judicial officers","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","98.7","134.4","38.5","40.0","25.0","5.2","4.0","10.6","..","356.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Supreme","","Number of FTE judicial officers","Civil","Supreme courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","45.5","50.5","13.7","16.4","7.8","2.8","2.2","4.1","..","143.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","District/county","","Number of FTE judicial officers","Civil","District/county courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","13.0","27.3","6.7","5.5","6.8","..","..","..","..","59.3"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Australian state and territory court authorities and departments (unpublished)","no.","25.7","44.3","15.4","15.1","7.2","2.1","1.4","5.9","..","117.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Children's","","Number of FTE judicial officers","Civil","Magistrates' courts","Children's courts","","","Australian state and territory court authorities and departments (unpublished)","no.","14.5","12.2","2.7","3.0","3.2","0.3","0.5","0.6","..","37.0"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Number of FTE judicial officers","Civil","Federal Court of Australia","","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","47.8","47.8"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","14.9","..","..","..","..","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Number of FTE judicial officers","Civil","FCFCOA (Division 2)","Non-family law matters","","","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Coroners'","","Number of FTE judicial officers","Civil","Coroners' courts","","","","Australian state and territory court authorities and departments (unpublished)","no.","6.0","10.8","9.0","4.9","2.8","3.0","0.2","1.5","..","38.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","All criminal and civil courts","","Number of FTE judicial officers","Criminal and civil","All criminal and civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","281.1","307.6","172.1","131.6","79.3","23.8","14.7","27.7","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Supreme","","Number of FTE judicial officers","Criminal and civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","57.5","62.9","25.9","23.6","14.7","7.9","6.2","9.1","..","207.8"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","75.7","78.0","35.6","31.1","21.8","..","..","..","..","242.2"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","115.0","138.4","90.8","50.3","35.4","11.5","7.4","15.5","..","464.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","26.8","17.5","10.8","6.8","4.6","1.4","0.9","1.6","..","70.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers per 100000 people","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","2.2","2.5","2.4","2.6","2.9","2.8","2.3","6.3","..","2.5"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers per 100000 people","Criminal","Supreme courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.2","0.2","0.3","0.4","0.9","0.9","2.0","..","0.3"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers per 100000 people","Criminal","District/county courts","","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.8","0.8","0.6","0.9","0.8","..","..","..","..","0.7"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.1","1.4","1.5","1.3","1.6","1.7","1.4","3.9","..","1.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers per 100000 people","Criminal","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.2","0.1","0.2","0.1","0.1","0.2","0.1","0.4","..","0.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers per 100000 people","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.3","2.2","0.9","2.2","1.5","1.5","0.9","4.9","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Number of FTE judicial officers per 100000 people","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.2","2.0","0.7","1.5","1.4","0.9","0.9","4.3","..","1.4"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Supreme","","Number of FTE judicial officers per 100000 people","Civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.6","0.8","0.3","0.6","0.4","0.5","0.5","1.7","..","0.6"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","District/county","","Number of FTE judicial officers per 100000 people","Civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.2","0.4","0.1","0.2","0.4","..","..","..","..","0.2"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.3","0.7","0.3","0.6","0.4","0.4","0.3","2.4","..","0.5"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Children's","","Number of FTE judicial officers per 100000 people","Civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.2","0.2","0.1","0.1","0.2","0.1","0.1","0.2","..","0.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Number of FTE judicial officers per 100000 people","Civil","Federal Court of Australia","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","..","..","..","..","..","0.2","0.2"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Number of FTE judicial officers per 100000 people","Civil","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","0.5","..","..","..","..","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Number of FTE judicial officers per 100000 people","Civil","FCFCOA (Division 2)","Non-family law matters","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","..","..","..","..","..","..","..","..","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Civil","Coroners'","","Number of FTE judicial officers per 100000 people","Civil","Coroners' courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.1","0.2","0.2","0.2","0.2","0.5","0","0.6","..","0.1"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","All criminal and civil courts","","Number of FTE judicial officers per 100000 people","Criminal and civil","All criminal and civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","3.5","4.7","3.3","4.8","4.4","4.2","3.3","11.2","na","na"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Supreme","","Number of FTE judicial officers per 100000 people","Criminal and civil","Supreme courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.7","1.0","0.5","0.9","0.8","1.4","1.4","3.7","..","0.8"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","District/county","","Number of FTE judicial officers per 100000 people","Criminal and civil","District/county courts","","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.9","1.2","0.7","1.1","1.2","..","..","..","..","0.9"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Magistrates' (excl. children's)","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","1.4","2.1","1.8","1.8","2.0","2.0","1.7","6.2","..","1.8"
"7A.28","2020-21","Judicial officers","All ages","All people","All people","All areas","Criminal and civil","Children's","","Number of FTE judicial officers per 100000 people","Criminal and civil","Magistrates' courts","Children's courts","","","Derived from Australian state and territory court authorities and departments (unpublished); ABS National state and territory population - December","rate","0.3","0.3","0.2","0.2","0.3","0.2","0.2","0.7","..","0.3"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","All criminal courts","","Number of FTE judicial officers","Criminal","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","171.7","152.9","123.7","65.0","51.0","14.2","10.6","15.3","..","604.4"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Supreme","","Number of FTE judicial officers","Criminal","Supreme courts","","","","State and territory court authorities and departments (unpublished)","no.","11.7","12.6","10.5","6.2","6.9","4.4","4.1","5.0","..","61.3"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","District/county","","Number of FTE judicial officers","Criminal","District/county courts","","","","State and territory court authorities and departments (unpublished)","no.","62.3","49.0","29.2","22.7","14.6","..","..","..","..","177.9"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Number of FTE judicial officers","Criminal","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","State and territory court authorities and departments (unpublished)","no.","87.0","88.2","76.4","33.4","28.2","8.7","6.1","9.3","..","337.2"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Criminal","Children's","","Number of FTE judicial officers","Criminal","Magistrates' courts","Children's courts","","","State and territory court authorities and departments (unpublished)","no.","10.8","3.0","7.6","2.7","1.3","1.1","0.4","1.0","..","27.9"
"7A.28","2019-20","Judicial officers","All ages","All people","All people","All areas","Civil","All civil courts","","Number of FTE judicial officers","Civil","All civil courts","","","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","106.6","136.8","45.9","60.7","25.7","8.5","4.3","12.5","na","na"
