financial_year,housing_type,local_government_area,is_total_row,total_households,number_of_household_members,aboriginal_households,households_with_person_with_disability,average_market_rent_of_occupied_dwellings_30_june,average_rent_changed_30_june,paying_less_than_market_rent,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,overcrowded_households,underutilised_households,under_3_years,3_to_9_years,10_or_more_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income_or_wages,other_cash_income,income_not_stated
2020-21,Public Housing,District Council of Streaky Bay,False,20,25,0,5,176.11111111111111,151.0111111111111,10,15,0,5,0,0,0,0,15,0,0,5,5,5,10,10,0,0,0,0,0,5
2020-21,Public Housing,District Council of Tumby Bay,False,5,5,0,0,224.33333333333334,125.45,5,5,0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,0,0,0,0,0
2020-21,Public Housing,District Council of Yankalilla,False,5,5,0,5,175,108.58333333333333,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0
2020-21,Public Housing,Kangaroo Island Council,False,45,70,0,20,209.2093023255814,136.33953488372097,35,30,5,5,0,5,5,0,10,0,0,15,10,15,15,10,15,5,5,5,0,5
2020-21,Public Housing,Light Regional Council,False,30,55,0,10,201.25,147.68437500000002,20,20,0,5,0,5,0,0,15,0,0,10,0,5,25,10,5,0,0,0,0,10
2020-21,Public Housing,Mid Murray Council,False,50,75,5,35,183.26923076923077,135.07500000000002,35,35,5,10,0,5,5,0,30,0,0,35,10,20,20,15,15,0,0,0,0,20
2020-21,Public Housing,Mount Barker District Council,False,360,615,20,270,277.6703910614525,149.50167597765346,325,200,25,45,10,75,40,10,130,15,10,135,70,80,205,95,145,20,30,25,5,30
2020-21,Public Housing,Naracoorte Lucindale Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Northern Areas Council,False,30,40,0,20,129.375,110.80937499999997,15,30,0,0,0,0,0,0,25,0,0,5,10,10,15,10,5,0,0,0,0,15
2020-21,Public Housing,Out of Council Boundary,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Port Augusta City Council,False,585,1135,265,210,198.34129692832764,133.98412969283282,470,340,90,45,25,80,125,45,215,25,30,220,180,155,250,150,110,110,95,15,5,100
2020-21,Public Housing,Port Pirie Regional Council,False,690,1085,90,415,172.78034682080926,126.4005780346821,550,460,60,65,25,80,80,35,310,35,10,225,195,225,275,210,205,95,55,20,0,105
2020-21,Public Housing,Regional Council of Goyder,False,15,15,0,5,143.84615384615384,111.94615384615382,10,10,0,0,0,0,0,0,5,0,0,5,5,5,5,5,5,0,0,0,0,0
2020-21,Public Housing,Renmark Paringa Council,False,160,300,30,75,187.9875,136.10812500000003,120,85,20,20,10,25,30,10,50,5,5,50,55,40,65,35,40,30,15,10,5,25
2020-21,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
