financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Barunga West Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Berri Barmera Council,False,65,35,30,0,5,15,10,10,5,10,5,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Campbelltown City Council,False,10,5,5,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Adelaide,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Burnside,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Charles Sturt,False,105,40,65,0,10,25,15,5,10,10,15,10,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Holdfast Bay,False,15,10,5,0,0,0,5,0,0,0,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Marion,False,130,60,70,0,15,35,20,15,10,15,20,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Mitcham,False,25,10,15,0,0,5,5,0,5,0,0,0,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Mount Gambier,False,50,20,30,0,5,5,15,5,10,5,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Norwood Payneham and St Peters,False,5,5,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Onkaparinga,False,195,85,105,0,10,65,35,20,20,20,20,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Playford,False,165,65,100,0,10,55,35,15,10,15,15,10,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Port Adelaide Enfield,False,500,215,285,0,25,125,95,45,60,55,55,30,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Port Lincoln,False,230,100,125,0,15,70,35,15,30,30,15,15,10
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Prospect,False,45,20,20,0,5,5,10,5,10,10,5,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Salisbury,False,420,180,240,0,20,100,70,40,45,60,50,20,10
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Tea Tree Gully,False,125,50,75,0,10,30,20,15,15,20,10,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Unley,False,20,10,15,0,0,5,0,5,0,0,0,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of West Torrens,False,100,40,60,0,5,20,15,15,10,20,10,5,5
2020-21,State Owned and Managed Indigenous Housing (SOMIH),City of Whyalla,False,70,25,40,0,5,20,15,5,5,5,5,5,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Clare and Gilbert Valleys Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
