service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Resthaven Paradise,61 Silkes Road,PARADISE,SA,5075,Metropolitan East,Residential,136,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8675659999999,138.684798999999,14552298.21
Eldercare Evanston Park,17 Morrow Avenue,EVANSTON PARK,SA,5116,"Yorke, Lower North & Barossa",Residential,100,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41026,Gawler - South,40201,Gawler - Two Wells,Gawler,42030,PHN402,Country SA,-34.6224139999999,138.742401999999,11482483.92
Bupa Woodville,104 Woodville Road,WOODVILLE,SA,5011,Metropolitan West,Residential,108,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.873992,138.542475999999,13057901.7
UnitingSA Westminster Village Aged Care,Cnr Fort St & Sylvan Way,GRANGE,SA,5022,Metropolitan West,Residential,101,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.896546,138.495328999999,12102587.11
Christies Beach Residential Care Services,50 Gulfview Road,CHRISTIES BEACH,SA,5165,Metropolitan South,Residential,98,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41074,Christies Beach,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1314459999999,138.476769999999,12535991.67
Parkview Aged Care,7-12 MAJORS Road,MOONTA,SA,5558,"Yorke, Lower North & Barossa",Residential,77,,,Moonta Health & Aged Care Services Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41125,Moonta,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-34.060878,137.589509999999,8866488.31
Estia Health Craigmore,150 Adams Road,CRAIGMORE,SA,5114,Metropolitan North,Residential,136,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41028,Craigmore - Blakeview,40202,Playford,Playford,45680,PHN401,Adelaide,-34.699714,138.705531,16862140.42
Eldercare Oxford,35 Hulbert Street,HOVE,SA,5048,Metropolitan South,Residential,27,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41056,Brighton (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-35.0099039999999,138.516295,2977739.52
ACH Group Residential Care - Perry Park (high care),26 River Road,PORT NOARLUNGA,SA,5167,Metropolitan South,Residential,117,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41074,Christies Beach,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.147544,138.478993,13080913.91
Matthew Flinders Home Inc,61-63 Oxford Terrace,PORT LINCOLN,SA,5606,Eyre Peninsula,Residential,76,,,Matthew Flinders Home Inc,Community Based,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.722002,135.84997,9903650.46
Salisbury Nursing Home,147 Frost Road,SALISBURY SOUTH,SA,5106,Metropolitan North,Residential,68,,,Salisbury Private Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7830489999999,138.652995,7014183.24
UnitingSA Seaton Aged Care,172 Trimmer Parade,SEATON,SA,5023,Metropolitan West,Residential,35,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8913429999999,138.510307,4477879.03
Joslin Manor Care Community,251 Payneham Road,JOSLIN,SA,5070,Metropolitan East,Residential,96,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41019,St Peters - Marden,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.902582,138.633143999999,10214330.36
Klemzig Residential Care Services,Leighton Avenue 2 Leighton Avenue,KLEMZIG,SA,5087,Metropolitan North,Residential,76,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41038,Windsor Gardens,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.873466,138.635522,8694635.88
Carmelite Residential Care,7 Spence Avenue,MYRTLE BANK,SA,5064,Metropolitan East,Residential,70,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.9631109999999,138.641151,7822986.85
St Joseph's House,22 Norman Street,PORT PIRIE,SA,5540,Mid North,Residential,67,,,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.179219,138.009379999999,6246038
Para Hills Residential Care,50 Kesters Road,PARA HILLS,SA,5096,Metropolitan North,Residential,60,,,L P Rositano & M Rositano & R M Rositano and S P Rositano,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41041,Para Hills,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.8027239999999,138.643789999999,6727303.43
AnglicareSA Elizabeth East,42 -60 Halsey Road,ELIZABETH EAST,SA,5112,Metropolitan North,Residential,121,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41031,Elizabeth East,40202,Playford,Playford,45680,PHN401,Adelaide,-34.7314009999999,138.680837999999,15375820.99
Bolton Clarke Marten,110 Strathfield Terrace,LARGS NORTH,SA,5016,Metropolitan West,Residential,116,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41100,North Haven,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8125789999999,138.502033,13306881.67
Oakwood Aged Care,6 Ellis Street,ENFIELD,SA,5085,Metropolitan North,Residential,78,,,Tolega Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.864604,138.607156,8673888.52
Lerwin Residential Care,59-67 Joyce Street,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Residential,80,,,Rural City of Murray Bridge,Local Government,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.128473,139.281894999999,9398799.17
Estia Health Valley View,66 Nelson Road,VALLEY VIEW,SA,5093,Metropolitan North,Residential,113,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.840426,138.663545999999,10192766.84
Star Of The Sea Home For The Aged,15 Elizabeth Street,WALLAROO,SA,5556,"Yorke, Lower North & Barossa",Residential,49,,,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,5,MM5 - Small Rural Towns,41126,Wallaroo,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.931587,137.630411,5360560.63
Helping Hand Aged Care - Parafield Gardens,437 Salisbury Highway,PARAFIELD GARDENS,SA,5107,Metropolitan North,Residential,80,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41043,Parafield Gardens,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.786946,138.617917,10163942.7
Yeltana Nursing Home,25 Newton Street,WHYALLA,SA,5600,Eyre Peninsula,Residential,59,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,3,MM3 - Large Rural Towns,41136,Whyalla,40601,Eyre Peninsula and South West,Whyalla,48540,PHN402,Country SA,-33.042233,137.571255,7691355.48
Edenfield Family Care - Nerrilda,71 STOKES Terrace,PORT AUGUSTA WEST,SA,5700,Flinders & Far North,Residential,46,,,El-Jasbella Nerrilda Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.4802329999999,137.755516999999,5635853.08
Rose Court Aged Care Facility,3 Grant Avenue,GILLES PLAINS,SA,5086,Metropolitan North,Residential,54,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8533469999999,138.661774,6446028.2
Edenfield Family Care West Park,7 PARTRIDGE Street,GOOLWA,SA,5214,"Hills, Mallee & Southern",Residential,60,,,El-Jasbella Ramsay Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.5011769999999,138.779786999999,7067664.75
ACH Group Residential Care - Colton Court,84 VALLEY VIEW Drive,MCLAREN VALE,SA,5171,Metropolitan South,Residential,37,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41083,McLaren Vale,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.2182129999999,138.537961999999,4404501.68
Edenfield Family Care - Yankalilla,175 Main Road,YANKALILLA,SA,5203,"Hills, Mallee & Southern",Residential,63,,,El-Jasbella Ramsay Pty Ltd,Private Incorporated Body,Inner Regional Australia,5,MM5 - Small Rural Towns,41149,Yankalilla,40701,Fleurieu - Kangaroo Island,Yankalilla,48750,PHN402,Country SA,-35.455125,138.334747999999,6005503.97
Keith and District Healthcare,35 Hill Avenue,KEITH,SA,5267,South East,Residential,28,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41157,Tatiara,40702,Limestone Coast,Tatiara,47630,PHN402,Country SA,-36.0973729999999,140.345914999999,2926174.55
UnitingSA Hawksbury Gardens Aged Care,8 Elmgrove Road,SALISBURY NORTH,SA,5108,Metropolitan North,Residential,89,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41048,Salisbury North,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7503699999999,138.622977999999,11147864.66
Lutheran Homes Group Glynde,24 Avenue Road,GLYNDE,SA,5070,Metropolitan East,Residential,107,,,Lutheran Homes Group Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.8956919999999,138.648180999999,10327842.12
Resthaven Craigmore,200-208 Adams Road,CRAIGMORE,SA,5114,Metropolitan North,Residential,93,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41028,Craigmore - Blakeview,40202,Playford,Playford,45680,PHN401,Adelaide,-34.6905089999999,138.711676,10854506.51
Disability SA Northgate,78-96 Dumfries Avenue,NORTHGATE,SA,5085,Metropolitan North,Residential,30,,,Department of Human Services,State Government,Major Cities of Australia,1,MM1 - Metropolitan Areas,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.854664,138.626808,3118217.67
AnglicareSA Westbourne Park,56 Monmouth Road,WESTBOURNE PARK,SA,5041,Metropolitan South,Residential,90,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.972113,138.596465999999,10697790.78
Bolton Clarke Little Para,24-28 Wayford Street,ELIZABETH VALE,SA,5112,Metropolitan North,Residential,62,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41030,Elizabeth,40202,Playford,Salisbury,47140,PHN401,Adelaide,-34.755805,138.657425999999,7687824.08
Helping Hand Aged Care - Mawson Lakes Facility,2-10 The Strand -,MAWSON LAKES,SA,5095,Metropolitan North,Residential,98,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41171,Mawson Lakes - Globe Derby Park,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.810437,138.610381999999,11494630.93
War Veterans Home Myrtle Bank,55 - 59 Ferguson Avenue,MYRTLE BANK,SA,5064,Metropolitan East,Residential,95,,,RSL Care South Australia Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.9606599999999,138.634209999999,9450450.5
Estia Health Burton,367-379 Waterloo Corner Road,BURTON,SA,5110,Metropolitan North,Residential,104,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41048,Salisbury North,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.742159,138.610665,13139968.8
AnglicareSA Brompton,2-10 First Street,BROMPTON,SA,5007,Metropolitan West,Residential,40,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.904029,138.573321999999,7062988.88
McCracken Views Residential Care,31 Adelaide Road,MCCRACKEN,SA,5211,"Hills, Mallee & Southern",Residential,60,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,MM3 - Large Rural Towns,41148,Victor Harbor,40701,Fleurieu - Kangaroo Island,Victor Harbor,48050,PHN402,Country SA,-35.52993,138.636982999999,4806610.1
Calvary The Homestead,29 Homestead Avenue,WALKLEY HEIGHTS,SA,5098,Metropolitan North,Residential,63,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41040,Ingle Farm,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.836641,138.639166999999,7528952.27
Estia Health Salisbury,7 Salisbury Highway,SALISBURY,SA,5108,Metropolitan North,Residential,73,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7543859999999,138.647181999999,9515022.84
Sandpiper Lodge Residential Care,35 Washington Street,GOOLWA,SA,5214,"Hills, Mallee & Southern",Residential,81,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.491272,138.794168,6868543.63
Onkaparinga Lodge Residential Care,28 Liddell Drive,HUNTFIELD HEIGHTS,SA,5163,Metropolitan South,Residential,92,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41079,Hackham West - Huntfield Heights,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.151741,138.521044999999,10275746.59
West Beach Residential Care,655-671 Burbridge Road,WEST BEACH,SA,5024,Metropolitan West,Residential,80,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41109,West Beach,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.935948,138.508602999999,8360804.3
Estia Health Strathalbyn,7 Langhorne Creek Road,STRATHALBYN,SA,5255,"Hills, Mallee & Southern",Residential,47,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,4,MM4 - Medium Rural Towns,41146,Strathalbyn,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.2611569999999,138.901825,5842644.64
Estia Health Salisbury East,8 Oakmont Court,SALISBURY EAST,SA,5109,Metropolitan North,Residential,80,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41047,Salisbury East,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.7713529999999,138.666171999999,4137565.72
Wudinna Multi-Purpose Service,Richards Avenue,WUDINNA,SA,5652,Eyre Peninsula,Multi-Purpose Service,12,,,Mid-West Health & Aged Care Inc,State Government,Very Remote Australia,7,MM7 - Very Remote Communities,41132,Le Hunte - Elliston,40601,Eyre Peninsula and South West,Wudinna,48640,PHN402,Country SA,-33.0488599999999,135.467399999999,1277236.28
Lameroo Multi-Purpose Service,1 A Vardon Terrace,LAMEROO,SA,5302,"Hills, Mallee & Southern",Multi-Purpose Service,16,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41161,Karoonda - Lameroo,40703,Murray and Mallee,Southern Mallee,47290,PHN402,Country SA,-35.328541,140.515444,1632074.2400000002
Kangaroo Island Multi-Purpose Service,"Kangaroo Island Health Services, 3-7 Kingscote Esplanade",KINGSCOTE,SA,5223,"Hills, Mallee & Southern",Multi-Purpose Service,53,8,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Remote Australia,7,MM7 - Very Remote Communities,41145,Kangaroo Island,40701,Fleurieu - Kangaroo Island,Kangaroo Island,42750,PHN402,Country SA,-35.65281,137.641301999999,4701912.72
Cleve Multi-Purpose Service,North Terrace,CLEVE,SA,5640,Eyre Peninsula,Multi-Purpose Service,35,2,,Eyre and Far North Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41131,Kimba - Cleve - Franklin Harbour,40601,Eyre Peninsula and South West,Cleve,41190,PHN402,Country SA,-33.6982339999999,136.494017,3050252.7500000005
Ceduna Multi-Purpose Service,3 Eyre Highway,CEDUNA,SA,5690,Eyre Peninsula,Multi-Purpose Service,38,,,Eyre and Far North Local Health Network Incorporated,State Government,Very Remote Australia,7,MM7 - Very Remote Communities,41129,Ceduna,40601,Eyre Peninsula and South West,Ceduna,41010,PHN402,Country SA,-32.1190509999999,133.672222,3550658.37
Boandik St Mary's,71 Boandik Terrace,MOUNT GAMBIER,SA,5290,South East,Residential,68,,,Boandik Lodge Inc,Community Based,Outer Regional Australia,3,MM3 - Large Rural Towns,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.836509,140.788263999999,7817259.74
Eldercare Seaford,100 Seaford Road,SEAFORD,SA,5169,Metropolitan South,Residential,100,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41087,Seaford (SA),40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1813539999999,138.480815,11940315.56
ACH Group Residential Care - Highercombe,Sirius Avenue,HOPE VALLEY,SA,5090,Metropolitan North,Residential,126,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.838866,138.706072,13846539.87
Wami Kata Old Folks Home,13  ARTLETT AVENUE,PORT AUGUSTA,SA,5700,Flinders & Far North,National Aboriginal and Torres Strait Islander Aged Care Program,32,5,,Wami Kata Old Folks Home Inc,Community Based,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.502951,137.773530999999,3817109.87
