application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2016/00173,,Typhon Minerals Pty Ltd,Pallatu area - approx 390 km WNW of Marla,2016-12-14T01:30:00Z,12,Square Kilometres,"Nickel,Palladium,Silver,Lead,Zinc,Gold,Copper,Vanadium,Cobalt,Platinum",Unspecified,,,,,,,,,129.9013415,-26.231904
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00321,,Kelaray Pty. Limited,South of Mount Illillinna area - Approx 180 km W of Marla,1997-04-15T02:30:00Z,624,Square Kilometres,"Base & Precious Metals, Diamonds",Unspecified,,,,,,,,,131.7930055,-27.331892000000003
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2025/00024,,Copper Search Australia Pty Ltd,190km West of Coober Pedy,2025-07-03T02:30:00Z,934,Square Kilometres,Heavy Mineral Sands,Unspecified,,,,,,,,,132.718009,-28.5735545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00057,,Mithril Resources Limited,Birksgate Range Area- Approx 400km west of Marla,1997-01-22T01:30:00Z,1656,Square Kilometres,"Gold,Diamonds,Base Metals",Unspecified,,,,,,,,,129.434691,-27.2235805
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2000/00085,,Orogenic Exploration Pty Ltd,Offshore Flinders Island - approx 30km WSW of Elliston,2000-09-01T02:30:00Z,364,Square Kilometres,Diamonds,Unspecified,,,,,,,,,134.5361155,-33.7256725
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00213,,Rio Tinto Exploration Pty Limited,Jalukana area - approx 410km WNW of Marla,2015-10-30T01:30:00Z,234,Square Kilometres,"Copper,Nickel,Platinum",Unspecified,,,,,,,,,129.6430085,-26.248573
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00214,,Rio Tinto Exploration Pty Limited,Tjalukana area - approx 400km WNW of Marla,2015-10-30T01:30:00Z,37,Square Kilometres,"Nickel,Platinum,Copper",Unspecified,,,,,,,,,129.7846755,-26.231904999999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00211,,Rio Tinto Exploration Pty Limited,Tjintalka area - approx 410km WNW of Marla,2015-10-30T01:30:00Z,184,Square Kilometres,"Copper,Platinum,Nickel",Unspecified,,,,,,,,,129.668007,-26.198573
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00340,,Goldsearch Ltd,Birksgate Range area - Approx 380km W of Marla,1996-08-02T02:30:00Z,2198,Square Kilometres,"Gold,Base Metals,Silver",Unspecified,,,,,,,,,129.693021,-27.1902425
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00186,,Panda Mining Pty Ltd,Granite Downs area - approximately 45km NW of Marla,2013-11-14T01:30:00Z,826,Square Kilometres,"Base & Precious Metals, Copper, Gold, Nickel",Unspecified,,,,,,,,,133.38466,-26.965207499999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2023/00020,,entX Limited,Polda Basin area - Offshore,2023-06-19T02:30:00Z,0,Square Kilometres,Evaporites,Unspecified,,,,,,,,,134.241675,-33.499986
