table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,SA,67
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Communications operatives,,,CAA (unpublished),no.,SA,162
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,,,Derived from CAA (unpublished),no.,SA,1606
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Proportion of total salaried personnel,,,Derived from CAA (unpublished),%,SA,78.4
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,10.3
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,59.7
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,70.0
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Operational support personnel,,,,CAA (unpublished),no.,SA,225
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Corporate support personnel,,,,CAA (unpublished),no.,SA,219
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Total ambulance service workforce,,,,Derived from CAA (unpublished),no.,SA,2049
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Males,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1147
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Females,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1382
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Other,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,4
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,2533
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Ambulance operatives,,,,Derived from CAA (unpublished),no.,SA,972
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Operational / corporate support,,,,CAA (unpublished),no.,SA,173
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Total,,,,Derived from CAA (unpublished),no.,SA,1145
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Males,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,420
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Females,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,748
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,Other,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,5
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1173
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Community first responders,,,,,CAA (unpublished),no.,SA,49
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,SA,66
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,SA,197
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,SA,1056
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Clinical other,,,CAA (unpublished),no.,SA,64
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Communications operatives,,,CAA (unpublished),no.,SA,151
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,,,Derived from CAA (unpublished),no.,SA,1534
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Proportion of total salaried personnel,,,Derived from CAA (unpublished),%,SA,78.4
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,10.7
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,57.6
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Total,Per 100000 people,,Derived from CAA (unpublished); ABS National state and territory population - December,rate,SA,68.3
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Operational support personnel,,,,CAA (unpublished),no.,SA,209
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Corporate support personnel,,,,CAA (unpublished),no.,SA,213
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Total ambulance service workforce,,,,Derived from CAA (unpublished),no.,SA,1956
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,Males,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1230
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,Females,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1496
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,Other,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,2
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,2728
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Ambulance operatives,,,,Derived from CAA (unpublished),no.,SA,1050
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Operational / corporate support,,,,CAA (unpublished),no.,SA,153
11A.2,Ambulance service organisations' human resources,2022-23,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Total,,,,Derived from CAA (unpublished),no.,SA,1203
